שם  הרשות,,מעמד מוניציפלי,שיטת חישוב שטח ברשות,"אשכול חברתי-כלכלי (1 נמוך, 10 גבוה)   ",סמל הרשות,"סה""כ  אוכלוסייה בסוף השנה (אלפים)",תעריף נורמטיבי למגורים,תעריף ממוצע למגורים לפי נתוני החיוב למגורים,תעריף בפועל לפי סקר תעריפי הארנונה של המרכז לשלטון מקומי,שטח ממוצע לדירה (נטו),מדד יוקר הארנונה,תעריף מלאכה ותעשייה נדרש,תעריף עסקים אחרים נדרש
אבו גוש,abu_gosh,מועצה מקומית,ברוטו-ברוטו,2,0472,6.8,43.91,37.39,50.21,108.20,712.64,47.77,95.55
אבו סנאן,abu_snan,מועצה מקומית,ברוטו,3,0473,13.2,44.79,32.92,38.68,113.00,534.70,39.83,79.65
אבן יהודה,even_yehuda,מועצה מקומית,ברוטו-ברוטו,8,0182,13,58.17,42.81,57.50,145.00,704.27,90.64,181.27
אום אל-פחם,um_al_fahem,עירייה,ברוטו-ברוטו,2,2710,51.4,43.91,32.68,43.90,86.37,677.36,49.08,98.16
אופקים,ofakim,עירייה,ברוטו-ברוטו,3,0031,25.3,44.79,38.28,51.50,71.48,1078.34,43.52,87.05
אור יהודה,or_yehuda,עירייה,ברוטו-ברוטו,5,2400,35.9,47.97,44.91,60.50,84.36,1258.62,81.21,162.44
אור עקיבא,or_akiva,עירייה,ברוטו-ברוטו,4,1020,16.8,45.69,36.59,49.19,77.17,928.14,56.10,112.18
אורנית,,מועצה מקומית,ברוטו-ברוטו,8,3760,8.1,58.17,37.11,49.77,140.42,549.43,86.11,172.22
אזור,azor,מועצה מקומית,ברוטו-ברוטו,6,0565,12,50.37,49.05,66.10,93.67,1355.61,95.54,191.11
אילת,eilat,עירייה,ברוטו-ברוטו,5,2600,48.9,47.97,36.78,49.43,82.80,881.03,24.65,49.30
אכסאל,iksal,מועצה מקומית,ברוטו-ברוטו,2,0478,13.4,43.91,32.89,44.19,82.97,711.39,22.55,45.11
אל-בטוף,al_batuf,מועצה אזורית,ברוטו,1,65,7.3,39.52,33.05,38.87,,,35.89,71.78
אלונה,alona,מועצה אזורית,ברוטו-ברוטו,7,45,2.2,47.60,36.37,48.90,,,65.56,131.12
אליכין,elyahin,מועצה מקומית,ברוטו-ברוטו,5,0041,3.4,47.97,42.13,56.70,110.66,878.12,63.04,126.06
אלעד,elad,עירייה,ברוטו-ברוטו,2,1309,43.6,43.91,42.43,57.18,83.27,1145.56,55.69,111.38
אלפי מנשה,,מועצה מקומית,ברוטו-ברוטו,8,3750,7.6,58.17,42.47,56.99,125.54,793.66,86.11,172.22
אלקנה,,מועצה מקומית,ברוטו-ברוטו,8,3560,3.9,58.17,41.57,55.79,138.62,693.80,86.11,172.22
אעבלין,ieblin,מועצה מקומית,ברוטו-ברוטו,3,0529,12.5,44.79,32.82,44.08,89.79,659.07,62.62,125.25
אפרת,,מועצה מקומית,ברוטו-ברוטו,7,3650,8.1,52.89,40.94,55.01,144.70,646.93,63.65,127.29
אריאל,,עירייה,ברוטו-ברוטו,5,3570,18.4,47.97,35.41,47.56,89.54,764.01,61.26,122.53
אשדוד,ashdod,עירייה,ברוטו-ברוטו,5,0070,218,47.97,40.20,54.08,83.58,1032.68,74.41,148.80
אשכול,eshkol,מועצה אזורית,ברוטו-ברוטו,6,38,12.8,45.33,32.68,43.88,,,48.96,97.93
אשקלון,ashkelon,עירייה,ברוטו,5,7100,126.8,47.97,34.31,40.30,81.30,784.88,64.70,129.39
